industry_id,name_ko,name_en,description,aliases,note
SEMI,반도체,Semiconductors,메모리·파운드리·팹리스와 반도체 장비·소재를 포함한 반도체 밸류체인,반도체;반도체 산업;반도체산업;반도체 업황;반도체업황;반도체 업계;반도체업계;반도체주;반도체 종목;반도체 수출;메모리 반도체;메모리반도체;시스템 반도체;파운드리;HBM;D램;DRAM;낸드;NAND;반도체 장비;반도체장비;semiconductor;semiconductors;chipmaker;chipmakers;chip industry;memory chip,
HW,전자부품·하드웨어,Electronics & Hardware,스마트폰·PC·가전 완제품과 MLCC·기판·스토리지 등 전자부품,전자부품;전자부품 업계;가전 업계;가전업계;가전 시장;스마트폰 시장;PC 시장;MLCC;PCB;기판 업계;electronics industry;consumer electronics;hardware makers,
SW,소프트웨어·AI,Software & AI,"기업용 소프트웨어, 클라우드·AI 인프라, 보안, IT 서비스",소프트웨어 업계;소프트웨어업계;SW 업계;IT 서비스 업계;IT서비스;클라우드 시장;클라우드 업계;사이버보안 업계;보안 업계;생성형 AI;생성 AI;AI 산업;AI 업계;인공지능 산업;인공지능 업계;LLM;software industry;cloud market;cybersecurity industry;generative AI;AI industry,
INTERNET,인터넷·플랫폼,Internet Platforms,검색·커머스·소셜·여행 예약 등 온라인 플랫폼,플랫폼 업계;플랫폼업계;빅테크;포털 업계;이커머스 업계;이커머스 시장;전자상거래 시장;온라인 플랫폼;검색 시장;SNS 업계;big tech;Big Tech;e-commerce market;online platforms,
MEDIA,미디어·게임·엔터,Media & Entertainment,"게임 개발, 방송·스트리밍, 음악·엔터테인먼트",게임 업계;게임업계;게임 산업;게임산업;게임주;엔터 업계;엔터업계;엔터테인먼트 업계;OTT;OTT 시장;스트리밍 시장;콘텐츠 산업;K팝;K-팝;K-POP;미디어 업계;gaming industry;streaming market;entertainment industry;K-pop,
TELECOM,통신,Telecommunications,이동통신·유선통신 서비스 사업자,통신 업계;통신업계;통신사;이동통신사;이통사;통신 3사;이통 3사;통신주;5G;6G;telecom industry;telecom carriers;wireless carriers,
AUTO,자동차,Automotive & Mobility,"완성차와 자동차 부품·타이어, 전기차·모빌리티 서비스",자동차 업계;자동차업계;자동차 산업;자동차산업;완성차;완성차 업계;전기차;전기차 시장;EV 시장;자동차주;자동차 부품;자동차부품;자율주행;모빌리티 업계;auto industry;automakers;automotive industry;EV market;electric vehicles,
BATTERY,2차전지,Batteries & Materials,배터리 셀과 양극재·음극재 등 전동화 소재,2차전지;이차전지;배터리 업계;배터리업계;배터리 산업;배터리 시장;배터리주;2차전지주;양극재;음극재;전고체;전고체 배터리;ESS;battery industry;battery makers;EV batteries;cathode materials,
TRANSPORT,조선·해운·운송,Shipbuilding & Transport,조선·해양플랜트와 해운·항공·물류,조선업;조선 업계;조선업계;조선 산업;조선주;조선 3사;조선사;해운업;해운 업계;해운업계;해운주;항공업;항공 업계;항공업계;항공사;항공주;물류 업계;물류업계;shipbuilding;shipbuilders;shipping industry;airline industry;airlines;logistics industry,
DEFENSE,방산·항공우주,Defense & Aerospace,"무기체계, 항공기·엔진, 위성·발사체",방산;방산 업계;방산업계;방산주;방위산업;방산 수출;K방산;K-방산;항공우주;항공우주 산업;우주 산업;우주산업;발사체;defense industry;defense contractors;aerospace industry;space industry,
POWER,전력·에너지설비,Power & Grid Equipment,발전·송배전 사업자와 변압기·전선 등 전력기기,전력기기;전력 기기;전력기기 업계;변압기;변압기 업계;전선 업계;전선업계;송배전;전력망;전력 인프라;원전;원자력;원전 산업;전력주;power equipment;transformers market;power grid;grid equipment;nuclear power;utilities sector,
CHEM,정유·화학·에너지,Oil Gas & Chemicals,"정유·석유화학과 산업용 가스, 유전 서비스",정유업;정유 업계;정유업계;정유사;정유주;석유화학;석유화학 업계;석유화학업계;석화 업계;화학 업계;화학업계;화학주;유가;국제유가;태양광 업계;태양광 산업;refiners;oil refiners;petrochemical industry;chemical industry;oil prices;crude prices,
MATERIAL,철강·비철·소재,Steel & Materials,철강·비철금속 제련과 소재 상사,철강;철강 업계;철강업계;철강 산업;철강주;비철금속;아연 가격;구리 가격;니켈 가격;소재 업계;steel industry;steelmakers;base metals;zinc prices;copper prices,
CONSTR,건설·기계·산업재,Construction & Industrials,건설·플랜트 시공과 건설기계·산업용 부품,건설업;건설 업계;건설업계;건설사;건설주;건설 경기;건설경기;건설기계;건설기계 업계;플랜트 업계;산업재;construction industry;construction sector;builders;construction equipment;industrials,
BIO,바이오·헬스케어,Biotech Pharma & Healthcare,"제약·바이오시밀러, 신약 개발, 의료기기",바이오;바이오 업계;바이오업계;바이오 산업;바이오주;제약업;제약 업계;제약업계;제약사;제약주;제약바이오;제약·바이오;바이오시밀러;신약 개발;의료기기 업계;헬스케어 업계;biotech;biotech industry;pharma;pharmaceutical industry;drugmakers;healthcare sector,
FIN,금융,Financials,은행·보험·증권·카드 등 금융업과 금융지주회사,금융업;금융 업계;금융업계;금융권;금융주;은행업;은행권;은행주;증권업;증권 업계;증권업계;증권사;증권주;보험업;보험 업계;보험업계;보험사;보험주;카드업;카드 업계;카드사;핀테크 업계;금융지주;financial sector;banking sector;banks;brokerages;insurers;fintech industry,
CONSUMER,소비재·유통,Consumer & Retail,식음료·화장품·담배와 유통·외식·호텔,유통업;유통 업계;유통업계;유통주;소비재;소비재 업계;식품 업계;식품업계;식품주;화장품 업계;화장품업계;뷰티 업계;K뷰티;K-뷰티;K푸드;K-푸드;외식 업계;외식업계;호텔 업계;여행 업계;여행업계;retail sector;retailers;consumer goods;consumer staples;food industry;beauty industry;restaurant industry;travel industry,
HOLDING,지주회사,Holding Companies,금융 외 사업 자회사를 거느린 지주회사,지주회사;지주사;지주회사 체제;holding companies;conglomerates,계열사와 ownership 엣지로 연결. 별칭은 산업 신호로만 사용
