key,industry_id,note
삼성전자,SEMI,메모리·파운드리가 핵심. 가전·모바일은 테마로
SK하이닉스,SEMI,
SK스퀘어,HOLDING,
삼성전기,HW,
LG에너지솔루션,BATTERY,
현대차,AUTO,
삼성바이오로직스,BIO,
KB금융,FIN,
삼성생명,FIN,
삼성물산,HOLDING,건설·상사 겸업이나 사실상 그룹 지주
한화에어로스페이스,DEFENSE,
신한지주,FIN,
두산에너빌리티,POWER,원전·가스터빈
기아,AUTO,
HD현대중공업,TRANSPORT,조선
삼성SDI,BATTERY,
셀트리온,BIO,
SK,HOLDING,
현대모비스,AUTO,
하나금융지주,FIN,
LG전자,HW,가전·전장
NAVER,INTERNET,
삼성화재,FIN,
LS ELECTRIC,POWER,
POSCO홀딩스,MATERIAL,
한화오션,TRANSPORT,조선
HD현대일렉트릭,POWER,
고려아연,MATERIAL,
효성중공업,POWER,변압기
우리금융지주,FIN,
HD한국조선해양,TRANSPORT,조선 중간지주
SK이노베이션,CHEM,정유·배터리(SK온)
한미반도체,SEMI,장비
한국전력,POWER,
HMM,TRANSPORT,해운
SK텔레콤,TELECOM,
LG화학,CHEM,
HD현대,HOLDING,
삼성중공업,TRANSPORT,조선
미래에셋증권,FIN,
S-Oil,CHEM,
LG,HOLDING,
삼성에스디에스,SW,
두산,HOLDING,
KT&G,CONSUMER,
기업은행,FIN,
포스코퓨처엠,BATTERY,양극재
카카오,INTERNET,
현대글로비스,TRANSPORT,물류
에이피알,CONSUMER,뷰티기기·화장품
LIG디펜스앤에어로스페이스,DEFENSE,
현대로템,DEFENSE,K2 전차·철도차량
KT,TELECOM,
현대건설,CONSTR,
LG이노텍,HW,
한화시스템,DEFENSE,
DB손해보험,FIN,
한국항공우주,DEFENSE,
GS,HOLDING,
대한항공,TRANSPORT,항공
현대오토에버,SW,
한국금융지주,FIN,
삼양식품,CONSUMER,
카카오뱅크,FIN,
크래프톤,MEDIA,게임
포스코인터내셔널,MATERIAL,상사·에너지
NH투자증권,FIN,
한진칼,TRANSPORT,항공 지주
HD현대마린솔루션,TRANSPORT,선박 AS
LS,HOLDING,
삼성에피스홀딩스,BIO,
삼성E&A,CONSTR,플랜트
아모레퍼시픽,CONSUMER,
한국타이어앤테크놀로지,AUTO,
이수페타시스,HW,PCB
삼성증권,FIN,
하이브,MEDIA,엔터
한화,HOLDING,
LG씨엔에스,SW,
코웨이,CONSUMER,
키움증권,FIN,
대우건설,CONSTR,
한화솔루션,CHEM,태양광·화학
SK바이오팜,BIO,
HD건설기계,CONSTR,
카카오페이,FIN,
가온전선,POWER,전선
LG유플러스,TELECOM,
두산밥캣,CONSTR,
유한양행,BIO,
한미약품,BIO,
산일전기,POWER,변압기
JB금융지주,FIN,
삼성카드,FIN,
대한전선,POWER,
한화생명,FIN,
오리온,CONSUMER,
엘앤에프,BATTERY,
대덕전자,HW,
맥쿼리인프라,FIN,인프라 펀드
ADBE,SW,
AMD,SEMI,
ABNB,INTERNET,
ALNY,BIO,
GOOGL,INTERNET,
GOOG,INTERNET,
AMZN,INTERNET,AWS는 테마로
AEP,POWER,
AMGN,BIO,
ADI,SEMI,
AAPL,HW,
AMAT,SEMI,장비
APP,SW,
ARM,SEMI,
ASML,SEMI,장비
ALAB,SEMI,
ADSK,SW,
ADP,SW,
AXON,DEFENSE,
BKR,CHEM,유전 서비스
BKNG,INTERNET,
AVGO,SEMI,
CDNS,SW,
CTAS,CONSUMER,
CSCO,HW,
CCEP,CONSUMER,
CMCSA,MEDIA,
CEG,POWER,
CPRT,AUTO,
CRWV,SW,
COST,CONSUMER,
CRWD,SW,
CSX,TRANSPORT,
DDOG,SW,
DXCM,BIO,
FANG,CHEM,
DASH,INTERNET,
EXC,POWER,
FAST,CONSTR,
FER,CONSTR,
FTNT,SW,
GEHC,BIO,
GILD,BIO,
HONA,DEFENSE,
HON,CONSTR,
IDXX,BIO,
INTC,SEMI,
INTU,SW,
ISRG,BIO,
KDP,CONSUMER,
KLAC,SEMI,장비
KHC,CONSUMER,
LRCX,SEMI,장비
LIN,CHEM,
LITE,SEMI,광부품
MAR,CONSUMER,
MRVL,SEMI,
MELI,INTERNET,
META,INTERNET,
MCHP,SEMI,
MU,SEMI,
MSFT,SW,
MSTR,SW,
MDLZ,CONSUMER,
MPWR,SEMI,
MNST,CONSUMER,
NBIS,SW,
NFLX,MEDIA,
NVDA,SEMI,
NXPI,SEMI,
ORLY,CONSUMER,
ODFL,TRANSPORT,
PCAR,AUTO,
PLTR,SW,
PANW,SW,
PAYX,SW,
PYPL,FIN,
PDD,INTERNET,
PEP,CONSUMER,
QCOM,SEMI,
REGN,BIO,
RKLB,DEFENSE,
ROP,SW,
ROST,CONSUMER,
SNDK,HW,
STX,HW,
SHOP,INTERNET,
SPCX,DEFENSE,
SBUX,CONSUMER,
SNPS,SW,
TMUS,TELECOM,
TTWO,MEDIA,
TER,SEMI,장비
TSLA,AUTO,
TXN,SEMI,
TRI,SW,
VRTX,BIO,
WMT,CONSUMER,
WBD,MEDIA,
WDC,HW,
WDAY,SW,
XEL,POWER,
